title,company,location,salary,tags,posted_date,source,link,scraped_at,confidence_score,credibility_score
Python Backend Engineer,Hitachi Solutions India Pvt Ltd,"Pune Division, Maharashtra, India",Not specified,"fulltime, not applicable, Consulting, IT Services and IT Consulting",2026-09-21,linkedin,https://www.linkedin.com/jobs/view/4468496305,2026-09-26T00:23:16Z,77,77
Senior DevOps Engineer,Realworld One GmbH & Co. KG,"KA, IN",Not specified,Internet And Software,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=add88434fcbc82e1,2026-09-26T00:23:16Z,71,71
Software Engineer - CDH Platform,Alegeus,"Bengaluru East, Karnataka, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Financial Services",2026-09-21,linkedin,https://www.linkedin.com/jobs/view/4414653471,2026-09-26T00:23:16Z,87,87
Senior Staff Software Development Engineer in Test,Kaseya,"MH, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=9ba27a5d196ec9c8,2026-09-26T00:23:16Z,86,86
Software Engr II,Honeywell Technologies,"Bengaluru, Karnataka, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Automation Machinery Manufacturing",2026-09-21,linkedin,https://www.linkedin.com/jobs/view/4461028034,2026-09-26T00:23:16Z,81,81
UI/Front End Developer,Womennnovator,"DL, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=bdfc55af790aba86,2026-09-26T00:23:16Z,87,87
Software Engineer- JAVA,WebEngage,"Bengaluru, Karnataka, India",Not specified,"fulltime, entry level, Engineering and Information Technology, Technology, Information and Internet",2026-09-21,linkedin,https://www.linkedin.com/jobs/view/4469909817,2026-09-26T00:23:16Z,55,55
Design Engineer Professional,BT Group,"KA, IN",Not specified,Not specified,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=d6f0eda3ebb26039,2026-09-26T00:23:16Z,75,75
Senior Software Engineer - Core Commerce Platform,PUMA Group,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Retail",2026-09-21,linkedin,https://www.linkedin.com/jobs/view/4461025127,2026-09-26T00:23:16Z,83,83
Murex DevOps Engineer,Bounteous,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=3f04a7e96b60054b,2026-09-26T00:23:16Z,55,55
Engineer - Software,Eaton,"Chennai, Tamil Nadu, India",Not specified,"fulltime, mid-senior level, Other, Appliances, Electrical, and Electronics Manufacturing",2026-09-19,linkedin,https://www.linkedin.com/jobs/view/4429886103,2026-09-26T00:23:16Z,58,58
Solution Architect — AWS / Cloud,Bounteous,IN,Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=8c99fdd9059ed6d0,2026-09-26T00:23:16Z,88,88
Lead Software Engineer,U.S. Bank,"Chennai, Tamil Nadu, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Banking",2026-09-19,linkedin,https://www.linkedin.com/jobs/view/4447088539,2026-09-26T00:23:16Z,90,90
Senior DevOps Engineer – Google Cloud Platform (GCP),Bounteous,IN,Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=93be41a7444fa6e4,2026-09-26T00:23:16Z,75,75
"Software Engineer II (3-6 years in Asp.Net,C#) Pune",Global Payments Inc.,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Financial Services and IT Services and IT Consulting",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4469110704,2026-09-26T00:23:16Z,89,89
"Senior Software Engineer I, Insurance Services",Porch Group,"Remote, IN",Not specified,"fulltime, Consumer Goods And Services",2026-09-25,indeed,https://in.indeed.com/viewjob?jk=cf500aee41da8cae,2026-09-26T00:23:16Z,56,56
Software Engineer (C++),Veradigm®,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Hospitals and Health Care",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4420987455,2026-09-26T00:23:16Z,75,75
Backend and Algorithms Engineer,Ingersoll-Rand,"KA, IN",Not specified,Industrial Manufacturing,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=b59a1946aadf07d8,2026-09-26T00:23:16Z,58,58
"Senior Software Engineer (Golang, Linux/Unix, Cloud, Agile Development)",PubMatic,"Pune Division, Maharashtra, India",Not specified,"fulltime, mid-senior level, Engineering and Information Technology, Technology, Information and Internet",2026-09-18,linkedin,https://www.linkedin.com/jobs/view/4459846341,2026-09-26T00:23:16Z,79,79
Java Developer,Thakral One,"KA, IN",Not specified,fulltime,2026-09-25,indeed,https://in.indeed.com/viewjob?jk=9595a0b8e3e090bb,2026-09-26T00:23:16Z,59,59
